stadsdeel,postcode_min,postcode_max
F,1058NP,1058NP
F,1059EP,1059GL
F,1059TT,1059VM
F,1059WB,1059WE
F,1060LG,1060LJ
F,1060LP,1060LZ
F,1060MB,1060ML
F,1060MN,1060MV
F,1060MX,1060MZ
F,1060NB,1060TZ
F,1061AA,1061AZ
F,1061SB,1061SE
F,1061SR,1061ST
F,1061SW,1061TA
F,1061TC,1061VC
F,1061VK,1061VL
F,1061VP,1061VR
F,1061VV,1061VZ
F,1061WB,1061WB
F,1061XA,1061XZ
F,1062AA,1062BE
F,1062BJ,1062CG
F,1062CJ,1062DN
F,1062DR,1062DR
F,1062EA,1062EG
F,1062EP,1062ES
F,1062EV,1062EV
F,1062GA,1062GA
F,1062GD,1062HW
F,1062JB,1062JB
F,1062JN,1062JX
F,1062KA,1062KM
F,1062KR,1062LC
F,1062XD,1062XZ
F,1063AA,1063AV
F,1063AX,1063CZ
F,1063EA,1063KK
F,1063KP,1063ML
F,1063NA,1063PG
F,1063PJ,1063PW
F,1063SR,1063VZ
F,1063XA,1063ZZ
F,1064AA,1064DG
F,1064EA,1064GS
F,1064GV,1064LZ
F,1064MB,1064ML
F,1064MN,1064MV
F,1064NA,1064PC
F,1064PE,1064PR
F,1064PX,1064VZ
F,1064WB,1064WJ
F,1064WN,1064WV
F,1064WX,1064WZ
F,1064XB,1064XJ
F,1064ZB,1064ZB
F,1064ZD,1064ZD
F,1064ZG,1064ZZ
F,1065AA,1065DC
F,1065DZ,1065GJ
F,1065GN,1065JJ
F,1065JM,1065LH
F,1065LK,1065LZ
F,1065MB,1065MB
F,1065NK,1065NS
F,1065RA,1065RA
F,1065SH,1065VD
F,1065VG,1065VZ
F,1065XA,1065XZ
F,1066AA,1066DA
F,1066DC,1066DJ
F,1066DM,1066EA
F,1066EC,1066EC
F,1066EE,1066EW
F,1066EZ,1066EZ
F,1066GD,1066KN
F,1066KR,1066LG
F,1066LK,1066LL
F,1066LN,1066LP
F,1066LS,1066ML
F,1066MN,1066MV
F,1066MX,1066PE
F,1066PJ,1066RD
F,1066SB,1066TC
F,1066TE,1066TM
F,1066TW,1066TZ
F,1066VC,1066VC
F,1066VE,1066VE
F,1066VH,1066VH
F,1066VW,1066VX
F,1066WB,1066WE
F,1066WH,1066WL
F,1066WN,1066WV
F,1066WX,1066WZ
F,1066XJ,1066XZ
F,1067AA,1067BJ
F,1067BL,1067CH
F,1067CP,1067CS
F,1067DB,1067DJ
F,1067DX,1067EA
F,1067ED,1067ED
F,1067EH,1067EH
F,1067EM,1067EM
F,1067EP,1067GB
F,1067GE,1067HV
F,1067HX,1067JM
F,1067JP,1067LZ
F,1067MB,1067ML
F,1067MN,1067MP
F,1067MT,1067MV
F,1067MX,1067NW
F,1067PB,1067PR
F,1067PT,1067PW
F,1067PZ,1067PZ
F,1067RC,1067RC
F,1067RG,1067RL
F,1067RV,1067TE
F,1067TH,1067VZ
F,1067WB,1067WL
F,1067WN,1067WV
F,1067WZ,1067ZZ
F,1068AA,1068GR
F,1068GT,1068HJ
F,1068HX,1068LA
F,1068LD,1068ML
F,1068MN,1068MV
F,1068MX,1068NR
F,1068NT,1068PD
F,1068PH,1068PR
F,1068RA,1068TD
F,1068TG,1068TG
F,1068VM,1068VZ
F,1068WB,1068WL
F,1068WN,1068WV
F,1068WX,1068ZJ
F,1068ZT,1068ZZ
F,1069AA,1069AG
F,1069AJ,1069AJ
F,1069AL,1069AL
F,1069AT,1069AV
F,1069BB,1069CG
F,1069CL,1069CL
F,1069CW,1069DA
F,1069DG,1069GV
F,1069GZ,1069GZ
F,1069HB,1069HB
F,1069HD,1069HD
F,1069HK,1069HK
F,1069HM,1069HR
F,1069HT,1069HV
F,1069HX,1069JA
F,1069JC,1069JC
F,1069JR,1069JR
F,1069JT,1069JT
F,1069KA,1069KB
F,1069KD,1069KG
F,1069KJ,1069KJ
F,1069KS,1069KS
F,1069KV,1069KW
F,1069LA,1069LH
F,1069LK,1069LN
F,1069LR,1069LW
F,1069MC,1069ML
F,1069MN,1069MN
F,1069MS,1069MV
F,1069MX,1069MZ
F,1069NB,1069PX
F,1069RA,1069RN
F,1069RR,1069RV
F,1069SC,1069SH
F,1069SR,1069SR
F,1069SZ,1069SZ
F,1069TM,1069VZ
F,1069WB,1069WL
F,1069WN,1069WV
F,1069WX,1069ZR
F,1069ZW,1069ZW
F,1069ZZ,1069ZZ
K,1058GH,1058GJ
K,1058GL,1058GN
K,1058HD,1058LT
K,1058NA,1058NP
K,1058PB,1058PD
K,1058SB,1058VC
K,1059AA,1059CZ
K,1059EA,1059EN
K,1059SP,1059TS
K,1059VN,1059VZ
K,1059XA,1059XZ
K,1071AA,1071ML
K,1071MN,1071MV
K,1071MX,1071NV
K,1071NX,1071SZ
K,1071TC,1071VZ
K,1071WB,1071WL
K,1071WN,1071WV
K,1071WX,1071ZZ
K,1072AA,1072AZ
K,1072BB,1072DA
K,1072EA,1072HV
K,1072JA,1072KA
K,1072KD,1072KK
K,1072KN,1072KP
K,1072KV,1072LW
K,1072LZ,1072MB
K,1072ME,1072MH
K,1072MK,1072ML
K,1072MN,1072MN
K,1072NA,1072NV
K,1072NX,1072PJ
K,1072PL,1072PN
K,1072RA,1072RG
K,1072RS,1072RX
K,1072SB,1072VZ
K,1072XA,1072ZA
K,1073AA,1073CZ
K,1073EA,1073JX
K,1073KA,1073KD
K,1073KG,1073LZ
K,1073NA,1073ND
K,1073PW,1073SZ
K,1073TB,1073VZ
K,1073XA,1073XZ
K,1074AA,1074BT
K,1074CA,1074DB
K,1074EA,1074GA
K,1074GC,1074GD
K,1074GG,1074GS
K,1074GX,1074JM
K,1074SP,1074TC
K,1074TK,1074VZ
K,1074XA,1074XZ
K,1075AA,1075CZ
K,1075EA,1075HW
K,1075KA,1075KA
K,1075KH,1075KN
K,1075KT,1075LZ
K,1075NB,1075NV
K,1075NX,1075RJ
K,1075RM,1075TZ
K,1075VB,1075VZ
K,1075XA,1075XZ
K,1076AA,1076CK
K,1076CM,1076CW
K,1076CZ,1076DA
K,1076DE,1076DE
K,1076DK,1076DZ
K,1076EC,1076EE
K,1076EL,1076EL
K,1076EP,1076EX
K,1076GR,1076GW
K,1076HR,1076JV
K,1076KJ,1076LZ
K,1076NA,1076NH
K,1076NM,1076NV
K,1076NX,1076VZ
K,1076XA,1076XZ
K,1077AA,1077CX
K,1077DA,1077ML
K,1077MN,1077MV
K,1077MX,1077NV
K,1077NX,1077VZ
K,1077WB,1077WV
K,1077WX,1077XM
K,1077XP,1077XR
K,1077XV,1077ZZ
K,1078AA,1078ML
K,1078MN,1078MV
K,1078MX,1078RW
K,1078SR,1078VZ
K,1078WB,1078WB
K,1078XA,1078XZ
K,1079AA,1079HW
K,1079JA,1079JW
K,1079KA,1079LH
K,1079LK,1079ML
K,1079MN,1079MV
K,1079MX,1079MZ
K,1079NB,1079NV
K,1079NX,1079NX
K,1079PA,1079PB
K,1079PD,1079RL
K,1079RN,1079RW
K,1079SK,1079SK
K,1079SR,1079VZ
K,1079WB,1079WL
K,1079WN,1079WV
K,1079WX,1079XD
