Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Basisweg;30;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117269;489531;52,3923292;4,8329053;;BEST-industriefunctie;bedrijf;88911;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012079569'];0363010000578090;;;0363200000040794
Basisweg;58;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF03;116435;489524;52,3922083;4,8206545;;BEST-woning;;85;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012088133'];0363010000578104;;;0363200000040812
Basisweg;60;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF01;116184;489519;52,3921457;4,8169679;;BEST-kantoorfunctie;opslag / distributie;1277;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012096401'];0363010000578108;;;0363200000040816
Benzolweg;17;;;1041AK;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC07;117952;491645;52,4113746;4,8427053;;BEST-woning;woning;106;Verblijfsobject;Verblijfsobject in gebruik;0363300000002514;['0363100012137742'];0363010000581074;;;0363200000043633
Westhavenweg;58;B;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117043;491298;52,4081939;4,8293855;;BEST-industriefunctie;opslag / distributie;120;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012078486'];0363010000986281;;;0363200000474211
Westhavenweg;58;F;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117022;491270;52,4079408;4,8290800;;BEST-industriefunctie;opslag / distributie;121;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012089775'];0363010000986286;;;0363200000474215
Westhavenweg;59;A;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117032;491315;52,4083459;4,8292219;;BEST-industriefunctie;bedrijf;362;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012146824'];0363010000986289;;;0363200000474216
Westhavenweg;59;D;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117017;491295;52,4081651;4,8290037;;BEST-industriefunctie;opslag / distributie;220;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012073101'];0363010000986298;;;0363200000474219
Westhavenweg;59;F;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117007;491281;52,4080386;4,8288584;;BEST-industriefunctie;opslag / distributie;121;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012136189'];0363010000986301;;;0363200000474221
Westhavenweg;60;C;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117003;491315;52,4083439;4,8287957;;BEST-industriefunctie;opslag / distributie;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012098242'];0363010000986307;;;0363200000474224
Westhavenweg;60;D;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116998;491309;52,4082896;4,8287229;;BEST-industriefunctie;opslag / distributie;240;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012123243'];0363010000986308;;;0363200000474225
Westhavenweg;64;E;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116901;491375;52,4088761;4,8272900;;BEST-industriefunctie;opslag / distributie;128;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012106823'];0363010000986377;;;0363200000474696
Westhavenweg;64;H;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116888;491357;52,4087134;4,8271010;;BEST-industriefunctie;bedrijf;99;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012084039'];0363010000986380;;;0363200000474699
Westhavenweg;65;A;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116895;491411;52,4091992;4,8271977;;BEST-industriefunctie;bedrijf;307;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012120202'];0363010000986381;;;0363200000474700
Vlothavenweg;8;;;1013BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD24;118626;490530;52,4013990;4,8527316;;BEST-kantoorfunctie;kantoor (hoofdcode);881;Verblijfsobject;Verblijfsobject in gebruik;0363300000005303;['0363100012114371'];0363010000986504;;;0363200000474968
Westhavenweg;61;D;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116973;491321;52,4083958;4,8283542;;BEST-overige gebruiksfunctie ;opslag / distributie;267;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012123311'];0363010000986354;;;0363200000474675
Westhavenweg;63;E;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116920;491362;52,4087606;4,8275707;;BEST-industriefunctie;opslag / distributie;128;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012137901'];0363010000986369;;;0363200000474688
Westhavenweg;64;A;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116917;491400;52,4091019;4,8275223;;BEST-industriefunctie;opslag / distributie;128;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012137605'];0363010000986373;;;0363200000474692
Sextantweg;2;;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117474;490782;52,4035862;4,8357769;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012091691'];0363010000808821;;;0363200000267441
