Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Cacaoweg;5;;;1047BE;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA16;112629;491701;52,4114925;4,7644696;;BEST-industriefunctie;opslag / distributie;2772;Verblijfsobject;Verblijfsobject in gebruik;0363300000001090;['0363100012115099'];0363010001002907;;;0363200000455958
Rigakade;12;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120090;489854;52,3954187;4,8743128;;BEST-kantoorfunctie;opslag / distributie;200;Verblijfsobject;Verblijfsobject in gebruik;0363300000004661;['0363100012080324'];0363010000936582;;;0363200000251781
Gyroscoopweg;142;;;1042AZ;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB24;118044;490544;52,4014859;4,8441787;;BEST-kantoorfunctie;kantoor (hoofdcode);5525;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012073129'];0363010000958038;;;0363200000465330
Kopraweg;35;;;1047BP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA14;112559;491136;52,4064094;4,7635123;;BEST-industriefunctie;overig bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001039;['0363100012148832'];0363010000958040;;;0363200000465333
Archangelkade;13;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119805;490026;52,3969463;4,8701078;;BEST-industriefunctie;opslag / distributie;853;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012073014'];0363010000571619;;;0363200000034362
Archangelkade;29;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119781;490187;52,3983917;4,8697383;;BEST-industriefunctie;bedrijf;1073;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012102122'];0363010000571634;;;0363200000034377
Archangelkade;31;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119770;490217;52,3986606;4,8695735;;BEST-kantoorfunctie;kantoor (hoofdcode);3040;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012112391'];0363010000571635;;;0363200000034378
Nieuw-Zeelandweg;12;;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115153;491079;52,4060917;4,8016373;;BEST-industriefunctie;opslag / distributie;2490;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012133472'];0363010000980895;;;0363200000468405
Dukdalfweg;58;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116739;492309;52,4172588;4,8248027;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012138939'];0363010000980923;;;0363200000468415
Bauduinlaan;36;;;1047HK;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA31;111445;490503;52,4006333;4,7472247;;BEST-woning;woning;73;Verblijfsobject;Verblijfsobject in gebruik;0363300000001455;['0363100012063333'];0363010000984290;;;0363200000469092
Marifoonweg;2;;;1042AV;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB19;117669;490664;52,4025390;4,8386554;;BEST-industriefunctie;bedrijf;11429;Verblijfsobject;Verblijfsobject in gebruik;0363300000001142;['0363100012138020'];0363010001010893;;;0363200000469448
Basisweg;36;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117141;489547;52,3924641;4,8310232;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012071928'];0363010000578094;;;0363200000040798
Basisweg;50;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF03;116488;489519;52,3921671;4,8214337;;BEST-industriefunctie;opslag / distributie;4455;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012088133'];0363010000578102;;;0363200000040810
Westhavenweg;65;D;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116881;491389;52,4090005;4,8269945;;BEST-industriefunctie;opslag / distributie;224;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012088595'];0363010000986384;;;0363200000474703
Dukdalfweg;7;;;1041BC;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116708;492214;52,4164028;4,8243579;;BEST-industriefunctie;bedrijf;2808;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012148783'];0363010000986241;;;0363200000474203
Westhavenweg;57;C;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117056;491277;52,4080061;4,8295789;;BEST-industriefunctie;opslag / distributie;120;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012117096'];0363010000986272;;;0363200000474206
Westhavenweg;58;E;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117028;491277;52,4080041;4,8291674;;BEST-industriefunctie;opslag / distributie;120;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012146202'];0363010000986285;;;0363200000474214
Westhavenweg;59;C;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;117022;491302;52,4082284;4,8290764;;BEST-industriefunctie;opslag / distributie;240;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012154756'];0363010000986296;;;0363200000474218
Westhavenweg;60;F;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116988;491295;52,4081631;4,8285776;;BEST-industriefunctie;bedrijf;238;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012095127'];0363010000986310;;;0363200000474227
Westhavenweg;61;E;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116968;491313;52,4083235;4,8282816;;BEST-industriefunctie;opslag / distributie;223;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012084631'];0363010000986355;;;0363200000474676
Westhavenweg;61;F;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116963;491306;52,4082603;4,8282089;;BEST-industriefunctie;opslag / distributie;223;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012129947'];0363010000986357;;;0363200000474677
Sextantweg;4;A;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117474;490801;52,4037569;4,8357748;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012141557'];0363010000808824;;;0363200000267444
Sextantweg;6;A;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117447;490788;52,4036383;4,8353795;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012092734'];0363010000808826;;;0363200000267446
Sextantweg;6;B;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117446;490793;52,4036831;4,8353643;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012085700'];0363010000808827;;;0363200000267447
Kopraweg;3;;;1047BP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA14;112349;490830;52,4036431;4,7604653;;BEST-industriefunctie;opslag / distributie;28926;Verblijfsobject;Verblijfsobject in gebruik;0363300000001039;['0363100012081033'];0363010001007793;;;0363200000476239
Dukdalfweg;36;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116786;492257;52,4167947;4,8254995;;BEST-industriefunctie;bedrijf;211;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012097390'];0363010000993937;;;0363200000478316
Dukdalfweg;40;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116754;492253;52,4167565;4,8250296;;BEST-industriefunctie;bedrijf;184;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012086488'];0363010000993939;;;0363200000478318
Danzigerbocht;31;A;;1013AM;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120175;490014;52,3968621;4,8755450;;BEST-industriefunctie;bedrijf;180;Verblijfsobject;Verblijfsobject in gebruik;0363300000003194;['0363100012073577'];0363010000998600;;;0363200000480214
Danzigerbocht;31;B;;1013AM;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120163;490014;52,3968613;4,8753687;;BEST-industriefunctie;bedrijf;150;Verblijfsobject;Verblijfsobject in gebruik;0363300000003194;['0363100012080094'];0363010000998601;;;0363200000480215
Danzigerbocht;31;C;;1013AM;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120158;490022;52,3969329;4,8752944;;BEST-industriefunctie;bedrijf;139;Verblijfsobject;Verblijfsobject in gebruik;0363300000003194;['0363100012080093'];0363010000998603;;;0363200000480216
Dukdalfweg;60;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116727;492364;52,4177522;4,8246201;;BEST-kantoorfunctie;kantoor (hoofdcode);734;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012080066'];0363010000998570;;;0363200000480306
Gyroscoopweg;3;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117633;490119;52,3976385;4,8381871;;BEST-industriefunctie;;1025;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012135270'];0363010001026562;;;0363200000480315
Amerikahavenweg;32;;;1045AE;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA08;114681;491252;52,4076120;4,7946806;;BEST-industriefunctie;bedrijf;4390;Verblijfsobject;Verblijfsobject in gebruik;0363300000005522;['0363100012131131'];0363010001010007;;;0363200000481759
Nieuw-Zeelandweg;8;C;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115162;491224;52,4073955;4,8017523;;BEST-industriefunctie;bedrijf;120;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012090798'];0363010001000882;;;0363200000484318
Nieuw-Zeelandweg;8;D;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115169;491224;52,4073960;4,8018552;;BEST-industriefunctie;bedrijf;126;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012063526'];0363010001000883;;;0363200000484319
Zekeringstraat;32;A;;1014BS;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG04;118569;490015;52,3967668;4,8519500;;BEST-kantoorfunctie;kantoor (hoofdcode);1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001755;['0363100012115100'];0363010001003120;;;0363200000484834
Zekeringstraat;32;E;;1014BS;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG04;118574;490015;52,3967671;4,8520235;;BEST-kantoorfunctie;kantoor (hoofdcode);525;Verblijfsobject;Verblijfsobject in gebruik;0363300000001755;['0363100012115100'];0363010001003124;;;0363200000484838
Zekeringstraat;34;C;;1014BS;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG04;118546;490024;52,3968462;4,8516111;;BEST-kantoorfunctie;kantoor (hoofdcode);1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001755;['0363100012115100'];0363010001003129;;;0363200000484842
Nieuw-Zeelandweg;15;C;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115171;490928;52,4047359;4,8019197;;BEST-industriefunctie;bedrijf;200;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012122633'];0363010001000996;;;0363200000485214
Nieuw-Zeelandweg;15;E;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115199;490928;52,4047380;4,8023311;;BEST-industriefunctie;opslag / distributie;200;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012099188'];0363010001000998;;;0363200000485216
Nieuw-Zeelandweg;15;L;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115162;490903;52,4045106;4,8017904;;BEST-industriefunctie;opslag / distributie;204;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012125099'];0363010001001003;;;0363200000485221
Nieuw-Zeelandweg;15;Y;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115149;490863;52,4041502;4,8016041;;BEST-industriefunctie;opslag / distributie;268;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012099916'];0363010001001014;;;0363200000485232
Nieuw-Zeelandweg;6;A;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115149;491350;52,4085269;4,8015463;;BEST-industriefunctie;bedrijf;335;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012111613'];0363010001006956;;;0363200000486530
Nieuw-Zeelandweg;6;B;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115160;491348;52,4085097;4,8017082;;BEST-industriefunctie;bedrijf;320;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012150054'];0363010001006957;;;0363200000486531
Nieuw-Zeelandweg;6;F;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115211;491348;52,4085134;4,8024577;;BEST-industriefunctie;bedrijf;320;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012151848'];0363010001006961;;;0363200000486535
Nieuw-Zeelandweg;6;N;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115198;491320;52,4082609;4,8022699;;BEST-industriefunctie;bedrijf;509;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012068083'];0363010001006967;;;0363200000486541
Nieuw-Zeelandweg;6;T;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115150;491320;52,4082574;4,8015646;;BEST-industriefunctie;bedrijf;335;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012072775'];0363010001006971;;;0363200000486545
Nieuw-Zeelandweg;6;V;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115168;491294;52,4080250;4,8018322;;BEST-industriefunctie;bedrijf;350;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012094374'];0363010001006973;;;0363200000486548
Ruijgoordweg;100;;;1047HM;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA18;112336;492576;52,4193335;4,7600522;;BEST-industriefunctie;overig bedrijf;526317;Verblijfsobject;Verblijfsobject in gebruik;0363300000001731;['0363100012079846'];0363010001010010;;;0363200000486612
Capriweg;28;;;1044AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB58;115559;492285;52,4169595;4,8074615;;BEST-industriefunctie;;402;Verblijfsobject;Verblijfsobject in gebruik;0363300000001341;['0363100012084409'];0363010000688895;;;0363200000488903
Dukdalfweg;4;;;1041BD;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116777;492198;52,4162639;4,8253739;;BEST-industriefunctie;opslag / distributie;193;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012136299'];0363010001010069;;;0363200000490362
Dukdalfweg;10;;;1041BD;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116778;492228;52,4165335;4,8253852;;BEST-industriefunctie;bedrijf;174;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012091878'];0363010001010072;;;0363200000490365
Dukdalfweg;12;;;1041BD;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116788;492233;52,4165792;4,8255316;;BEST-industriefunctie;bedrijf;194;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012130825'];0363010001010073;;;0363200000490366
Dukdalfweg;18;;;1041BD;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116786;492190;52,4161926;4,8255071;;BEST-industriefunctie;bedrijf;318;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012092514'];0363010001010076;;;0363200000490369
Gyroscoopweg;1;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117614;490095;52,3974215;4,8379106;;BEST-industriefunctie;bedrijf;1070;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012117788'];0363010001006926;;;0363200000489720
Contactweg;145;;;1014BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118606;490196;52,3983959;4,8524740;;BEST-onderwijsfunctie;bedrijf;961;Verblijfsobject;Verblijfsobject in gebruik;0363300000003129;['0363100012133996'];0363010001006896;;;0363200000489721
Contactweg;149;;;1014BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118606;490196;52,3983959;4,8524740;;BEST-kantoorfunctie;kantoor (hoofdcode);776;Verblijfsobject;Verblijfsobject in gebruik;0363300000003129;['0363100012133996'];0363010001006899;;;0363200000489723
Contactweg;159;;;1014BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118574;490221;52,3986185;4,8520011;;BEST-kantoorfunctie;kantoor (hoofdcode);310;Verblijfsobject;Verblijfsobject in gebruik;0363300000003129;['0363100012073199'];0363010001006905;;;0363200000489728
Dynamostraat;50;;;1014BZ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118551;490126;52,3977632;4,8516735;;BEST-kantoorfunctie;kantoor (hoofdcode);4068;Verblijfsobject;Verblijfsobject in gebruik;0363300000005547;['0363100012143561'];0363010001006917;;;0363200000489731
Dynamostraat;60;;;1014BZ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118515;490152;52,3979945;4,8511418;;BEST-kantoorfunctie;kantoor (hoofdcode);1;Verblijfsobject;Verblijfsobject in gebruik;0363300000005547;['0363100012137793'];0363010001006922;;;0363200000489736
Koffieweg;8;;;1047BC;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA16;112396;491585;52,4104320;4,7610601;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001091;['0363100012083983'];0363010001006949;;;0363200000489743
Dynamostraat;46;;;1014BK;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118592;490101;52,3975412;4,8522786;;BEST-industriefunctie;bedrijf;1418;Verblijfsobject;Verblijfsobject in gebruik;0363300000005547;['0363100012110277'];0363010001006915;;;0363200000489755
Contactweg;139;;;1014BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG01;118606;490139;52,3978837;4,8524802;;BEST-industriefunctie;bedrijf;290;Verblijfsobject;Verblijfsobject in gebruik;0363300000003129;['0363100012113148'];0363010001006890;;;0363200000489763
Dukdalfweg;35;;;1041BC;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116696;492340;52,4175344;4,8241672;;BEST-industriefunctie;bedrijf;2188;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012141863'];0363010001006932;;;0363200000489697
Contactweg;66;;;1014BW;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG45;118821;489947;52,3961724;4,8556597;;BEST-kantoorfunctie;kantoor (hoofdcode);2989;Verblijfsobject;Verblijfsobject in gebruik;0363300000003129;['0363100012122268'];0363010001012448;;;0363200000491004
Siciliëweg;5;;;1045AT;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA03;114655;492247;52,4165522;4,7941788;;BEST-industriefunctie;bedrijf;34754;Verblijfsobject;Verblijfsobject in gebruik;0363300000002199;['0363100012132727'];0363010001020967;;;0363200000491024
Kombuisweg;9;;;1041AV;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC02;116949;492293;52,4171296;4,8278912;;BEST-industriefunctie;bedrijf;394;Verblijfsobject;Verblijfsobject in gebruik;0363300000000923;['0363100012069525'];0363010001025632;;;0363200000491901
Kombuisweg;23;;;1041AV;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC02;116881;492239;52,4166396;4,8268979;;BEST-industriefunctie;bedrijf;446;Verblijfsobject;Verblijfsobject in gebruik;0363300000000923;['0363100012083360'];0363010001025639;;;0363200000491908
Kombuisweg;33;;;1041AV;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC02;116862;492180;52,4161080;4,8266253;;BEST-industriefunctie;bedrijf;304;Verblijfsobject;Verblijfsobject in gebruik;0363300000000923;['0363100012075767'];0363010001025644;;;0363200000491913
Isarweg;2;;;1043AK;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117039;489560;52,3925739;4,8295233;;BEST-winkelfunctie;bedrijf;2695;Verblijfsobject;Verblijfsobject in gebruik;0363300000003639;['0363100012154685'];0363010001026747;;;0363200000494472
Nieuwe Hemweg;1;;;1013BG;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119507;489720;52,3941771;4,8657620;;BEST-winkelfunctie;(detail)handel / winkel;4309;Verblijfsobject;Verblijfsobject in gebruik;0363300000003906;['0363100012140686'];0363010001026749;;;0363200000495105
Nieuw-Zeelandweg;20;;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115168;490632;52,4020755;4,8019108;;BEST-industriefunctie;bedrijf;2338;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012087519'];0363010001026750;;;0363200000495252
Petroleumhavenweg;20;;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC17;118904;491465;52,4098204;4,8567158;;BEST-industriefunctie;bedrijf;1202;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012082948'];0363010000773161;;;0363200000497325
Siciliëweg;59;;;1045AX;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA01;113340;493183;52,4248658;4,7747346;;BEST-industriefunctie;overig bedrijf;3751;Verblijfsobject;Verblijfsobject in gebruik;0363300000002199;['0363100012142393'];0363010001026786;;;0363200000497370
Moezelhavenweg;11;B;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116366;489715;52,3939200;4,8196189;;BEST-industriefunctie;opslag / distributie;1422;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012091376'];0363010001018775;;;0363200000499567
Van Riebeeckhavenweg;6;;;1041AE;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC21;118623;491354;52,4088042;4,8525982;;BEST-industriefunctie;bedrijf;964;Verblijfsobject;Verblijfsobject in gebruik;0363300000006095;['0363100012089466'];0363010000846175;;;0363200000304374
Van Riebeeckhavenweg;9;;;1041AD;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC17;118482;491504;52,4101429;4,8505098;;BEST-industriefunctie;bedrijf;4712;Verblijfsobject;Verblijfsobject in gebruik;0363300000006095;['0363100012078841'];0363010001003062;;;0363200000304376
Van Riebeeckhavenweg;12;;;1041AE;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC17;118586;491442;52,4095927;4,8520449;;BEST-industriefunctie;bedrijf;1244;Verblijfsobject;Verblijfsobject in gebruik;0363300000006095;['0363100012122364'];0363010000846181;;;0363200000304378
Hornweg;24;;;1045AR;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA05;115322;492040;52,4147406;4,8040070;;BEST-gemengde panden;bedrijf;391;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012124184'];0363010001043457;;;0363200000509573
Nieuw-Zeelandweg;5;B;3;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115166;491390;52,4088876;4,8017914;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012128294'];0363010001043471;;;0363200000509921
Nieuw-Zeelandweg;5;B;21;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115187;491379;52,4087903;4,8021013;;BEST-overige gebruiksfunctie ;bedrijf;64;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012082646'];0363010001043461;;;0363200000509942
Ruigoord;8;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA20;111693;491470;52,4093434;4,7507436;;BEST-industriefunctie;atelier / werkruimte;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012162605'];0363010001025168;;;0363200000512047
Ruigoord;34;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA20;111606;491556;52,4101094;4,7494540;;BEST-kantoorfunctie;atelier / werkruimte;75;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012161601'];0363010001025176;;;0363200000512055
Ruigoord;56;;;1047HH;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA21;111602;491743;52,4117897;4,7493710;;BEST-industriefunctie;atelier / werkruimte;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000002142;['0363100012159945'];0363010001025181;;;0363200000512058
Danzigerkade;40;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120284;490368;52,4000554;4,8771228;;;;;Ligplaats;Plaats aangewezen;0363300000003195;;;0363020001030238;;0363200000514260
Archangelkade;2;A;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119955;489881;52,3956528;4,8723267;;BEST-overige gebruiksfunctie ;bedrijf;189;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012101949'];0363010001038275;;;0363200000514426
Archangelkade;2;B;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;119959;489876;52,3956081;4,8723860;;BEST-overige gebruiksfunctie ;bedrijf;95;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012144344'];0363010001038276;;;0363200000514429
